file_id	original_name	stored_path	source_path	linked_or_copied	file_type_detected	track_type_selected	size_bytes	date_added	status	notes
file_20260514014750_4281	mini_signal.bedgraph	/Users/clpichot/Documents/DEV/rGenomeTrackUI/projects/qa_user_project/inputs/raw/mini_signal.bedgraph	/Users/clpichot/Documents/DEV/rGenomeTrackUI/example_data/mini_signal.bedgraph	copied	bedgraph	bedgraph	343	2026-05-14T01:47:50	ok	NA
file_20260514014750_5227	mini_genes.gtf	/Users/clpichot/Documents/DEV/rGenomeTrackUI/projects/qa_user_project/inputs/raw/mini_genes.gtf	/Users/clpichot/Documents/DEV/rGenomeTrackUI/example_data/mini_genes.gtf	copied	gtf	gtf	1020	2026-05-14T01:47:50	ok	NA
file_20260514014750_579	mini_peaks.narrowPeak	/Users/clpichot/Documents/DEV/rGenomeTrackUI/projects/qa_user_project/inputs/raw/mini_peaks.narrowPeak	/Users/clpichot/Documents/DEV/rGenomeTrackUI/example_data/mini_peaks.narrowPeak	copied	narrowPeak	narrowPeak	92	2026-05-14T01:47:50	ok	
